Gemeindekennziffer;Name;Innergemeindliche_Pendler;Einpendler;Auspendler;Erwerbstaetig_am_Wohnort;Erwerbstaetige_am_Arbeitsort
08215059;Oberderdingen;1.997;3.675;3.490;5.487;5.672
08215064;Östringen, Stadt;1.738;2.141;4.991;6.729;3.879
08215066;Philippsburg, Stadt;1.945;3.316;4.666;6.611;5.261
08215082;Sulzfeld;630;934;1.925;2.555;1.564
08215084;Ubstadt-Weiher;1.431;1.859;5.555;6.986;3.290
08215089;Walzbachtal;1.039;1.200;3.957;4.996;2.239
08215090;Weingarten (Baden);1.315;2.126;3.880;5.195;3.441
08215094;Zaisenhausen;196;609;777;973;805
08215096;Karlsbad;2.686;4.953;5.648;8.334;7.639
08215097;Kraichtal, Stadt;2.101;1.634;5.767;7.868;3.735
08215099;Graben-Neudorf;1.667;3.514;4.532;6.199;5.181
08215100;Bad Schönborn;1.608;2.870;5.136;6.744;4.478
08215101;Pfinztal;2.024;2.509;7.127;9.151;4.533
08215102;Eggenstein-Leopoldshafen;2.278;13.440;6.474;8.752;15.718
08215103;Karlsdorf-Neuthard;1.001;1.714;4.467;5.468;2.715
08215105;Linkenheim-Hochstetten;1.205;1.069;5.115;6.320;2.274
08215106;Waghäusel, Stadt;3.813;5.103;7.320;11.133;8.916
08215107;Oberhausen-Rheinhausen;1.054;1.185;3.879;4.933;2.239
08215108;Rheinstetten, Stadt;2.793;4.194;8.408;11.201;6.987
08215109;Stutensee, Stadt;2.636;4.881;9.746;12.382;7.517
08215110;Waldbronn;1.731;3.057;5.073;6.804;4.788
08215111;Dettenheim;754;986;2.705;3.459;1.740
08216002;Au am Rhein;275;307;1.544;1.819;582
08216005;Bietigheim;520;1.380;3.005;3.525;1.900
08216006;Bischweier;178;418;1.508;1.686;596
08216007;Bühl, Stadt;7.601;15.260;8.238;15.839;22.861
08216008;Bühlertal;818;1.217;3.687;4.505;2.035
08216009;Durmersheim;1.356;1.968;5.416;6.772;3.324
08216012;Elchesheim-Illingen;263;544;1.478;1.741;807
08216013;Forbach;581;231;1.874;2.455;812
08216015;Gaggenau, Stadt;6.288;7.990;9.022;15.310;14.278
08216017;Gernsbach, Stadt;2.278;2.713;5.105;7.383;4.991
08216022;Hügelsheim;346;637;2.406;2.752;983
08216023;Iffezheim;684;1.689;2.126;2.810;2.373
08216024;Kuppenheim, Stadt;864;1.973;3.503;4.367;2.837
08216028;Lichtenau, Stadt;718;1.055;2.029;2.747;1.773
08216029;Loffenau;230;142;1.098;1.328;372
08216033;Muggensturm;735;2.346;2.578;3.313;3.081
08216039;Ötigheim;366;1.107;2.144;2.510;1.473
08216041;Ottersweier;867;2.039;2.650;3.517;2.906
08216043;Rastatt, Stadt;12.152;22.816;12.830;24.982;34.968
08216049;Sinzheim;1.201;2.607;4.998;6.199;3.808
08216052;Steinmauern;216;365;1.415;1.631;581
08216059;Weisenbach;198;430;1.136;1.334;628
08216063;Rheinmünster;939;2.651;2.884;3.823;3.590
08221000;Heidelberg, Stadt;43.380;69.973;26.287;69.667;113.353
08222000;Mannheim, Universitätsstadt;98.242;119.369;50.423;148.665;217.611
08225001;Adelsheim, Stadt;821;1.216;1.663;2.484;2.037
08225002;Aglasterhausen;668;954;1.915;2.583;1.622
08225009;Billigheim;644;507;2.532;3.176;1.151
08225010;Binau;99;229;626;725;328
08225014;Buchen (Odenwald), Stadt;4.660;3.999;4.536;9.196;8.659
08225024;Fahrenbach;269;304;1.182;1.451;573
08225032;Hardheim;1.504;1.873;1.961;3.465;3.377
08225033;Haßmersheim;655;1.094;1.937;2.592;1.749
08225039;Höpfingen;308;275;1.338;1.646;583
08225042;Hüffenhardt;172;211;916;1.088;383
08225052;Limbach;727;788;1.654;2.381;1.515
08225058;Mosbach, Stadt;6.493;11.130;5.325;11.818;17.623
08225060;Mudau;965;620;1.823;2.788;1.585
08225064;Neckargerach;206;168;955;1.161;374
08225067;Neckarzimmern;118;465;654;772;583
08225068;Neunkirchen;203;272;817;1.020;475
08225074;Obrigheim;468;1.114;2.126;2.594;1.582
08225075;Osterburken, Stadt;1.216;2.180;2.146;3.362;3.396
08225082;Rosenberg;379;719;755;1.134;1.098
08225091;Seckach;531;532;1.577;2.108;1.063
08225109;Walldürn, Stadt;2.683;3.147;3.208;5.891;5.830
08225113;Zwingenberg;56;212;294;350;268
08225114;Ravenstein, Stadt;366;243;1.294;1.660;609
08225115;Schefflenz;445;466;1.581;2.026;911
08225116;Schwarzach;340;1.175;1.132;1.472;1.515
08225117;Elztal;669;862;2.598;3.267;1.531
08225118;Waldbrunn;647;626;1.886;2.533;1.273
08226003;Altlußheim;629;1.304;2.450;3.079;1.933
08226006;Bammental;704;1.329;2.480;3.184;2.033
08226009;Brühl;1.349;2.161;6.127;7.476;3.510
08226010;Dielheim;755;691;3.977;4.732;1.446
08226012;Dossenheim;998;1.782;5.457;6.455;2.780
08226013;Eberbach, Stadt;3.576;3.539;3.503;7.079;7.115
08226017;Epfenbach;202;303;1.100;1.302;505
08226018;Eppelheim, Stadt;1.368;3.953;6.665;8.033;5.321
08226020;Eschelbronn;242;420;1.125;1.367;662
08226022;Gaiberg;140;123;1.002;1.142;263
08226027;Heddesbach;44;44;186;230;88
08226028;Heddesheim;1.245;3.475;4.818;6.063;4.720
08226029;Heiligkreuzsteinach;334;263;1.003;1.337;597
08226031;Hemsbach, Stadt;1.198;1.153;4.998;6.196;2.351
08226032;Hockenheim, Stadt;3.327;5.926;7.648;10.975;9.253
08226036;Ilvesheim;600;1.149;4.140;4.740;1.749
08226037;Ketsch;1.459;2.540;5.074;6.533;3.999
08226038;Ladenburg, Stadt;1.699;4.395;4.096;5.795;6.094
08226040;Laudenbach;502;756;2.554;3.056;1.258
08226041;Leimen, Stadt;2.502;3.830;11.689;14.191;6.332
08226046;Malsch;280;792;1.621;1.901;1.072
08226048;Mauer;353;572;1.736;2.089;925
08226049;Meckesheim;712;2.208;2.034;2.746;2.920
08226054;Mühlhausen;809;1.018;3.599;4.408;1.827
08226055;Neckarbischofsheim, Stadt;567;829;1.507;2.074;1.396
08226056;Neckargemünd, Stadt;1.790;3.475;4.942;6.732;5.265
08226058;Neidenstein;146;459;840;986;605
08226059;Neulußheim;460;731;3.088;3.548;1.191
08226060;Nußloch;906;1.858;4.858;5.764;2.764
08226062;Oftersheim;811;1.112;5.414;6.225;1.923
08226063;Plankstadt;708;1.319;4.471;5.179;2.027
08226065;Rauenberg, Stadt;624;895;3.915;4.539;1.519
08226066;Reichartshausen;242;336;902;1.144;578
08226068;Reilingen;845;1.050;2.979;3.824;1.895
08226076;Sandhausen;1.265;2.021;6.758;8.023;3.286
08226080;Schönau, Stadt;594;544;1.656;2.250;1.138
08226081;Schönbrunn;230;134;1.279;1.509;364
08226082;Schriesheim, Stadt;1.620;2.202;5.957;7.577;3.822
08226084;Schwetzingen, Stadt;2.802;8.554;8.631;11.433;11.356
08226085;Sinsheim, Stadt;9.189;9.689;9.381;18.570;18.878
08226086;Spechbach;137;143;758;895;280
08226091;Waibstadt, Stadt;665;1.413;2.290;2.955;2.078
08226095;Walldorf, Stadt;3.029;18.392;4.833;7.862;21.421
08226096;Weinheim, Stadt;9.014;17.485;12.791;21.805;26.499
08226097;Wiesenbach;251;499;1.373;1.624;750
08226098;Wiesloch, Stadt;4.398;14.155;8.988;13.386;18.553
08226099;Wilhelmsfeld;325;689;1.288;1.613;1.014
08226101;Zuzenhausen;275;764;944;1.219;1.039
08226102;Angelbachtal;469;604;2.131;2.600;1.073
08226103;St. Leon-Rot;1.843;7.219;5.267;7.110;9.062
08226104;Lobbach;288;486;995;1.283;774
08226105;Edingen-Neckarhausen;1.399;2.366;5.866;7.265;3.765
08226106;Helmstadt-Bargen;419;579;1.560;1.979;998
08226107;Hirschberg an der Bergstraße;1.004;2.722;4.059;5.063;3.726
08231000;Pforzheim, Stadt;37.258;36.839;23.218;60.476;74.097
08235006;Altensteig, Stadt;2.095;2.518;3.628;5.723;4.613
08235007;Althengstett;847;1.831;3.395;4.242;2.678
08235008;Bad Liebenzell, Stadt;1.431;1.516;3.176;4.607;2.947
08235018;Dobel;303;341;771;1.074;644
08235020;Ebhausen;428;627;2.183;2.611;1.055
08235022;Egenhausen;218;361;897;1.115;579
08235025;Enzklösterle;257;141;400;657;398
08235029;Gechingen;329;462;1.566;1.895;791
08235032;Haiterbach, Stadt;984;1.529;2.234;3.218;2.513
08235033;Bad Herrenalb, Stadt;1.296;823;2.727;4.023;2.119
08235035;Höfen an der Enz;247;640;779;1.026;887
08235046;Nagold, Stadt;5.512;8.368;6.303;11.815;13.880
08235047;Neubulach, Stadt;946;779;1.978;2.924;1.725
08235050;Neuweiler;508;748;1.185;1.693;1.256
08235055;Oberreichenbach;250;205;1.305;1.555;455
08235057;Ostelsheim;206;328;1.101;1.307;534
08235060;Rohrdorf;150;279;874;1.024;429
08235065;Schömberg;1.404;1.041;2.781;4.185;2.445
08235066;Simmersfeld;386;716;801;1.187;1.102
08235067;Simmozheim;172;222;1.342;1.514;394
08235073;Unterreichenbach;180;195;1.059;1.239;375
08235079;Bad Wildbad, Stadt;2.689;1.798;2.668;5.357;4.487
08235080;Wildberg, Stadt;1.378;1.307;3.992;5.370;2.685
08235084;Bad Teinach-Zavelstein, Stadt;420;540;1.366;1.786;960
08235085;Calw, Stadt;5.220;7.313;6.918;12.138;12.533
08236004;Birkenfeld;1.632;4.791;3.948;5.580;6.423
08236011;Eisingen;420;449;2.142;2.562;869
08236013;Engelsbrand;485;690;1.868;2.353;1.175
08236019;Friolzheim;470;1.261;1.680;2.150;1.731
08236025;Heimsheim, Stadt;555;1.418;1.979;2.534;1.973
08236028;Illingen;856;1.629;3.123;3.979;2.485
08236030;Ispringen;681;2.491;2.767;3.448;3.172
08236031;Kieselbronn;214;479;1.374;1.588;693
08236033;Knittlingen, Stadt;1.297;2.486;2.989;4.286;3.783
08236038;Maulbronn, Stadt;926;1.382;2.426;3.352;2.308
08236039;Mönsheim;351;1.515;1.181;1.532;1.866
08236040;Mühlacker, Stadt;5.517;7.802;8.034;13.551;13.319
08236043;Neuenbürg, Stadt;1.184;1.915;3.224;4.408;3.099
08236044;Neuhausen;641;815;2.186;2.827;1.456
08236046;Niefern-Öschelbronn;1.763;3.393;4.665;6.428;5.156
08236050;Ötisheim;554;1.298;1.947;2.501;1.852
08236061;Sternenfels;357;1.149;1.113;1.470;1.506
08236062;Tiefenbronn;575;647;2.326;2.901;1.222
08236065;Wiernsheim;699;911;2.864;3.563;1.610
08236067;Wimsheim;269;948;1.283;1.552;1.217
08236068;Wurmberg;382;841;1.288;1.670;1.223
08236070;Keltern;1.332;1.628;3.620;4.952;2.960
08236071;Remchingen;1.662;2.140;4.586;6.248;3.802
08236072;Straubenhardt;1.778;2.535;4.062;5.840;4.313
08236073;Neulingen;800;1.223;2.890;3.690;2.023
08236074;Kämpfelbach;514;442;2.913;3.427;956
08236075;Ölbronn-Dürrn;288;1.010;1.525;1.813;1.298
08236076;Königsbach-Stein;1.545;3.558;3.827;5.372;5.103
08237002;Alpirsbach, Stadt;1.382;1.164;2.088;3.470;2.546
08237004;Baiersbronn;5.037;1.884;3.423;8.460;6.921
08237019;Dornstetten, Stadt;1.609;2.965;2.891;4.500;4.574
08237024;Empfingen;685;1.550;1.598;2.283;2.235
08237027;Eutingen im Gäu;539;1.105;2.622;3.161;1.644
08237028;Freudenstadt, Stadt;6.700;7.726;5.596;12.296;14.426
08237030;Glatten;533;1.637;880;1.413;2.170
08237032;Grömbach;34;28;289;323;62
08237040;Horb am Neckar, Stadt;5.323;5.089;8.000;13.323;10.412
08237045;Loßburg;1.789;2.938;2.521;4.310;4.727
08237054;Pfalzgrafenweiler;1.490;1.850;2.451;3.941;3.340
08237061;Schopfloch;474;1.834;963;1.437;2.308
08237072;Wörnersberg;33;12;82;115;45
08237073;Seewald;461;491;761;1.222;952
08237074;Waldachtal;1.341;2.051;2.074;3.415;3.392
08237075;Bad Rippoldsau-Schapbach;409;135;706;1.115;544
08311000;Freiburg im Breisgau, Stadt;81.349;78.040;26.638;107.987;159.389
08315003;Au;114;375;573;687;489
08315004;Auggen;348;449;980;1.328;797
08315006;Bad Krozingen, Stadt;3.124;5.894;6.110;9.234;9.018
08315007;Badenweiler;852;1.131;1.127;1.979;1.983
08315008;Ballrechten-Dottingen;206;492;1.037;1.243;698
08315013;Bötzingen;1.032;2.844;1.922;2.954;3.876
08315014;Bollschweil;209;183;933;1.142;392
08315015;Breisach am Rhein, Stadt;2.793;3.548;5.062;7.855;6.341
08315016;Breitnau;243;227;693;936;470
08315020;Buchenbach;410;769;1.325;1.735;1.179
08315022;Buggingen;451;1.083;1.645;2.096;1.534
08315028;Ebringen;237;439;1.255;1.492;676
08315030;Eichstetten am Kaiserstuhl;478;746;1.452;1.930;1.224
08315031;Eisenbach (Hochschwarzwald);626;1.333;602;1.228;1.959
08315033;Eschbach;273;1.754;1.118;1.391;2.027
08315037;Feldberg (Schwarzwald);546;604;490;1.036;1.150
08315039;Friedenweiler;230;262;833;1.063;492
08315041;Glottertal;536;704;1.361;1.897;1.240
08315043;Gottenheim;242;957;1.205;1.447;1.199
08315047;Gundelfingen;1.029;2.852;5.052;6.081;3.881
08315048;Hartheim;568;851;2.116;2.684;1.419
08315050;Heitersheim, Stadt;900;2.368;2.153;3.053;3.268
08315051;Heuweiler;61;86;514;575;147
08315052;Hinterzarten;707;1.020;657;1.364;1.727
08315056;Horben;80;78;494;574;158
08315059;Ihringen;914;1.126;2.437;3.351;2.040
08315064;Kirchzarten;1.533;3.261;3.362;4.895;4.794
08315068;Lenzkirch;1.432;1.433;1.316;2.748;2.865
08315070;Löffingen, Stadt;1.646;1.051;2.518;4.164;2.697
08315072;Merdingen;284;504;1.143;1.427;788
08315073;Merzhausen;336;1.026;2.141;2.477;1.362
08315074;Müllheim, Stadt;4.200;6.681;4.787;8.987;10.881
08315076;Neuenburg am Rhein, Stadt;2.005;2.851;4.043;6.048;4.856
08315084;Oberried;433;426;1.136;1.569;859
08315089;Pfaffenweiler;225;212;1.204;1.429;437
08315094;St. Märgen;390;172;694;1.084;562
08315095;St. Peter;464;232;926;1.390;696
08315098;Schallstadt;671;1.697;2.617;3.288;2.368
08315102;Schluchsee;673;416;653;1.326;1.089
08315107;Sölden;87;417;529;616;504
08315108;Staufen im Breisgau, Stadt;1.187;2.237;2.314;3.501;3.424
08315109;Stegen;392;638;1.822;2.214;1.030
08315111;Sulzburg, Stadt;428;1.021;905;1.333;1.449
08315113;Titisee-Neustadt, Stadt;3.569;3.334;3.107;6.676;6.903
08315115;Umkirch;645;2.664;2.354;2.999;3.309
08315125;Wittnau;107;219;645;752;326
08315130;Münstertal/Schwarzwald;948;421;1.850;2.798;1.369
08315131;Ehrenkirchen;919;1.879;3.098;4.017;2.798
08315132;March;983;1.909;4.183;5.166;2.892
08315133;Vogtsburg im Kaiserstuhl, Stadt;1.400;775;2.114;3.514;2.175
08316002;Bahlingen am Kaiserstuhl;672;1.377;1.725;2.397;2.049
08316003;Biederbach;223;145;819;1.042;368
08316009;Denzlingen;1.465;3.183;5.549;7.014;4.648
08316010;Elzach, Stadt;1.755;1.580;2.485;4.240;3.335
08316011;Emmendingen, Stadt;5.305;9.782;8.770;14.075;15.087
08316012;Endingen am Kaiserstuhl, Stadt;1.939;2.738;3.199;5.138;4.677
08316013;Forchheim;179;114;680;859;293
08316014;Gutach im Breisgau;602;1.126;1.878;2.480;1.728
08316017;Herbolzheim, Stadt;1.683;3.707;3.840;5.523;5.390
08316020;Kenzingen, Stadt;1.315;2.018;3.845;5.160;3.333
08316024;Malterdingen;402;1.041;1.350;1.752;1.443
08316036;Reute;237;926;1.479;1.716;1.163
08316037;Riegel am Kaiserstuhl;451;1.358;1.702;2.153;1.809
08316038;Sasbach am Kaiserstuhl;511;399;1.398;1.909;910
08316039;Sexau;366;1.009;1.434;1.800;1.375
08316042;Simonswald;463;216;1.283;1.746;679
08316043;Teningen;1.649;4.155;4.615;6.264;5.804
08316045;Vörstetten;226;516;1.466;1.692;742
08316049;Weisweil;232;237;902;1.134;469
08316051;Wyhl am Kaiserstuhl;430;512;1.781;2.211;942
08316053;Rheinhausen;338;490;1.575;1.913;828
08316054;Freiamt;783;311;1.720;2.503;1.094
08316055;Winden im Elztal;360;443;1.369;1.729;803
08316056;Waldkirch, Stadt;4.423;6.306;6.558;10.981;10.729
08317001;Achern, Stadt;6.031;8.893;8.016;14.047;14.924
08317005;Appenweier;1.318;3.066;4.160;5.478;4.384
08317008;Bad Peterstal-Griesbach;701;449;791;1.492;1.150
08317009;Berghaupten;207;454;1.121;1.328;661
08317011;Biberach;629;1.329;1.503;2.132;1.958
08317021;Durbach;609;729;1.611;2.220;1.338
08317026;Ettenheim, Stadt;1.766;2.298;4.937;6.703;4.064
08317029;Fischerbach;250;311;830;1.080;561
08317031;Friesenheim;1.662;2.219;5.474;7.136;3.881
08317034;Gengenbach, Stadt;2.007;2.401;3.590;5.597;4.408
08317039;Gutach (Schwarzwaldbahn);471;873;864;1.335;1.344
08317040;Haslach im Kinzigtal, Stadt;1.754;3.619;2.287;4.041;5.373
08317041;Hausach, Stadt;1.403;2.866;1.819;3.222;4.269
08317046;Hofstetten;249;268;815;1.064;517
08317047;Hohberg;667;996;3.692;4.359;1.663
08317051;Hornberg, Stadt;1.064;1.197;1.212;2.276;2.261
08317056;Kappelrodeck;1.045;876;2.509;3.554;1.921
08317057;Kehl, Stadt;10.348;10.578;7.088;17.436;20.926
08317059;Kippenheim;648;2.155;2.203;2.851;2.803
08317065;Lahr/Schwarzwald, Stadt;12.543;15.324;10.056;22.599;27.867
08317067;Lautenbach;182;211;883;1.065;393
08317068;Lauf;382;457;1.864;2.246;839
08317073;Mahlberg, Stadt;519;1.754;2.305;2.824;2.273
08317075;Meißenheim;470;744;1.612;2.082;1.214
08317078;Mühlenbach;208;103;816;1.024;311
08317085;Nordrach;420;689;646;1.066;1.109
08317088;Oberharmersbach;491;203;1.011;1.502;694
08317089;Oberkirch, Stadt;5.482;5.244;5.586;11.068;10.726
08317093;Oberwolfach;465;370;1.068;1.533;835
08317096;Offenburg, Stadt;19.054;32.034;11.306;30.360;51.088
08317097;Ohlsbach;238;547;1.396;1.634;785
08317098;Oppenau, Stadt;1.255;1.239;1.398;2.653;2.494
08317100;Ortenberg;293;772;1.549;1.842;1.065
08317102;Ottenhöfen im Schwarzwald;515;581;1.306;1.821;1.096
08317110;Renchen, Stadt;1.295;2.529;2.878;4.173;3.824
08317113;Ringsheim;202;833;1.052;1.254;1.035
08317114;Rust;1.010;3.485;1.344;2.354;4.495
08317116;Sasbach;707;1.936;2.285;2.992;2.643
08317118;Sasbachwalden;379;715;979;1.358;1.094
08317121;Schuttertal;443;181;1.411;1.854;624
08317122;Schutterwald;811;2.224;3.115;3.926;3.035
08317126;Seebach;219;289;610;829;508
08317127;Seelbach;754;973;1.891;2.645;1.727
08317129;Steinach;619;892;1.872;2.491;1.511
08317141;Willstätt;1.330;2.854;4.023;5.353;4.184
08317145;Wolfach, Stadt;1.300;1.784;2.011;3.311;3.084
08317146;Zell am Harmersbach, Stadt;1.941;2.199;2.508;4.449;4.140
08317150;Schwanau;1.144;2.540;2.705;3.849;3.684
08317151;Neuried;1.327;983;3.971;5.298;2.310
08317152;Kappel-Grafenhausen;513;736;2.329;2.842;1.249
08317153;Rheinau, Stadt;2.430;2.995;3.913;6.343;5.425
08325001;Aichhalden;640;880;1.670;2.310;1.520
08325009;Bösingen;413;645;1.479;1.892;1.058
08325011;Dietingen;433;397;1.755;2.188;830
08325012;Dornhan, Stadt;1.021;656;2.359;3.380;1.677
08325014;Dunningen;870;1.497;2.570;3.440;2.367
08325015;Epfendorf;266;285;1.525;1.791;551
08325024;Hardt;480;888;987;1.467;1.368
08325036;Lauterbach;482;326;1.136;1.618;808
08325045;Oberndorf am Neckar, Stadt;3.477;5.648;3.836;7.313;9.125
08325049;Rottweil, Stadt;6.222;10.598;6.811;13.033;16.820
08325050;Schenkenzell;268;367;719;987;635
08325051;Schiltach, Stadt;983;2.913;1.098;2.081;3.896
08325053;Schramberg, Stadt;6.362;8.024;4.866;11.228;14.386
08325057;Sulz am Neckar, Stadt;2.832;2.705;3.966;6.798;5.537
08325060;Villingendorf;385;1.228;1.426;1.811;1.613
08325061;Vöhringen;608;811;1.748;2.356;1.419
08325064;Wellendingen;482;1.018;1.228;1.710;1.500
08325069;Zimmern ob Rottweil;750;2.131;2.615;3.365;2.881
08325070;Fluorn-Winzeln;534;801;1.193;1.727;1.335
08325071;Eschbronn;155;209;976;1.131;364
08325072;Deißlingen;1.023;1.656;2.348;3.371;2.679
08326003;Bad Dürrheim, Stadt;1.997;3.544;4.480;6.477;5.541
08326005;Blumberg, Stadt;2.536;1.309;2.411;4.947;3.845
08326006;Bräunlingen, Stadt;1.256;1.915;1.988;3.244;3.171
08326010;Dauchingen;353;815;1.623;1.976;1.168
08326012;Donaueschingen, Stadt;5.388;8.401;6.310;11.698;13.789
08326017;Furtwangen im Schwarzwald, Stadt;3.164;2.912;1.724;4.888;6.076
08326020;Gütenbach;196;388;456;652;584
08326027;Hüfingen, Stadt;1.056;1.718;3.155;4.211;2.774
08326031;Königsfeld im Schwarzwald;920;960;2.133;3.053;1.880
08326037;Mönchweiler;376;1.365;1.271;1.647;1.741
08326041;Niedereschach;830;1.618;2.477;3.307;2.448
08326052;St. Georgen im Schwarzwald, Stadt;3.431;3.332;3.450;6.881;6.763
08326054;Schönwald im Schwarzwald;418;483;914;1.332;901
08326055;Schonach im Schwarzwald;1.123;958;1.211;2.334;2.081
08326060;Triberg im Schwarzwald, Stadt;1.279;1.209;1.382;2.661;2.488
08326061;Tuningen;410;1.038;1.231;1.641;1.448
08326065;Unterkirnach;334;457;1.043;1.377;791
